1	FIAT	EGEA	1.4FIRE	KIRMIZI	2016.000000	14500.000000	52500.000000	
2	VOLKSWAGEN	GOLF	1.2TSI	BEYAZ	2016.000000	1928.000000	79900.000000	
3	FIAT	500X	1.6MJET	KIRMIZI	2016.000000	1300.000000	89500.000000	
4	RENAULT	KADJAR	1.5DCI	MAVI	2016.000000	13720.000000	100000.000000	
5	AUDI	A3	1.6TDI	SIYAH	2016.000000	42000.000000	107950.000000	
6	FORD	MONDEO	1.6TDCI	MAVI	2016.000000	9200.000000	115000.000000	
7	VOLKSWAGEN	PASSAT	1.4TSI	MAVI	2016.000000	18000.000000	122500.000000	
8	VOLKSWAGEN	TIGUAN	1.4TSI	SIYAH	2016.000000	3300.000000	131000.000000	
9	VOLKSWAGEN	TIGUAN	1.4TFSI	BEJ	2016.000000	18450.000000	136500.000000	
10	HONDA	CR-V	1.6	BEJ	2016.000000	8500.000000	175000.000000	
11	AUDI	A5	2.0TDI	BEYAZ	2016.000000	6000.000000	225000.000000	
12	HYUNDAI	I20	1.2MPI	SIYAH	2015.000000	51000.000000	48750.000000	
13	SKODA	OCTAVIA	1.6TDI	BEYAZ	2015.000000	65000.000000	81500.000000	
14	SKODA	OCTAVIA	1.6TDI	BEYAZ	2015.000000	36000.000000	86950.000000	
15	MAZDA	6	2.0	MAVI	2015.000000	20000.000000	129500.000000	
16	PEUGEOT	208	1.2VTI	GRI	2015.000000	5150.000000	47500.000000	
17	SKODA	SUPERB	1.6TDI	BEYAZ	2015.000000	74598.000000	97500.000000	
18	DACIA	DUSTER	1.5DCI	GUMUS	2015.000000	26000.000000	60950.000000	
19	VOLVO	V40	1.5T	BEYAZ	2015.000000	20000.000000	105000.000000	
20	HYUNDAI	I40	1.7CRDI	FUME	2014.000000	36000.000000	94000.000000	
21	VOLKSWAGEN	POLO	1.6TDI	GRI	2014.000000	83500.000000	56000.000000	
22	OPEL	ASTRA	1.3CDTI	SIYAH	2014.000000	93000.000000	59500.000000	
23	PEUGEOT	301	1.6HDI	GUMUS	2014.000000	112000.000000	42500.000000	
24	RENAULT	CAPTUR	1.2ICON	MAVI	2014.000000	17000.000000	65250.000000	
25	ISUZU	D-MAX	2.5	BEYAZ	2014.000000	55000.000000	72500.000000	
26	HYUNDAI	IX35	1.6GDI	BEYAZ	2014.000000	48000.000000	77000.000000	
27	FIAT	LINEA	1.3	FUME	2014.000000	142000.000000	33950.000000	
28	FIAT	FIORINO	1.4	BEYAZ	2014.000000	55000.000000	41000.000000	
29	HYUNDAI	ACCENT	1.6CRDI	BEYAZ	2014.000000	119000.000000	51500.000000	
30	VOLKSWAGEN	JETTA	1.6TDI	BEYAZ	2014.000000	62000.000000	89400.000000	
31	DACIA	LODGY	1.5DCI	BEYAZ	2014.000000	143000.000000	41500.000000	
32	VOLKSWAGEN	TOUAREG	3.0TDI	GUMUS	2014.000000	21500.000000	315000.000000	
33	MERCEDES	A-SERI	A200	BEYAZ	2013.000000	44000.000000	109000.000000	
34	BMW	X1	16I	BEYAZ	2013.000000	34000.000000	112000.000000	
35	VOLVO	S60	1.6D	BEJ	2013.000000	74500.000000	112500.000000	
36	FORD	FOCUS	1.6TDCI	BEYAZ	2013.000000	145000.000000	54000.000000	
37	HONDA	CIVIC	1.6	BEYAZ	2013.000000	51000.000000	72250.000000	
38	MAZDA	CX-5	2.0	KIRMIZI	2013.000000	67000.000000	92000.000000	
39	FORD	FOCUS	1.6TDCI	BEYAZ	2013.000000	52000.000000	55000.000000	
40	RENAULT	SYMBOL	1.2JOY	BEYAZ	2013.000000	60000.000000	37000.000000	
41	MERCEDES	E-SERI	E180	SIYAH	2013.000000	107000.000000	145000.000000	
42	FIAT	PUNTO	1.4	KIRMIZI	2013.000000	46000.000000	43500.000000	
43	RENAULT	FLUENCE	1.5DCI	GRI	2013.000000	169000.000000	53500.000000	
44	CITROEN	C5	1.6	BEYAZ	2013.000000	60000.000000	64950.000000	
45	CITROEN	C4	1.6HDI	BEYAZ	2012.000000	76000.000000	50750.000000	
46	CITROEN	NEMO	1.6HDI	MAVI	2012.000000	160000.000000	35400.000000	
47	MERCEDES	A-SERI	A250	BEYAZ	2012.000000	38000.000000	125000.000000	
48	FIAT	FIORINO	1.4FIRE	BEYAZ	2012.000000	95000.000000	34750.000000	
49	SEAT	IBIZA	1.2TSI	BEYAZ	2012.000000	90000.000000	40500.000000	
50	VOLKSWAGEN	MULTI	2.5TDI	SIYAH	2011.000000	143000.000000	57500.000000	
51	NISSAN	MICRA	1.2	SIYAH	2011.000000	80000.000000	42250.000000	
52	SEAT	IBIZA	1.4	BEYAZ	2011.000000	120000.000000	28950.000000	
53	MERCEDES	C-SERI	C180	FUME	2011.000000	107000.000000	95750.000000	
54	AUDI	A1	1.4TFSI	BEYAZ	2011.000000	115000.000000	54000.000000	
55	HYUNDAI	ERA	1.5CRDI	KIRMIZI	2011.000000	60000.000000	30200.000000	
56	SKODA	FABIA	1.2TSI	FUME	2011.000000	38000.000000	37800.000000	
57	VOLKSWAGEN	GOLF	1.4TSI	MAV˜	2010.000000	115000.000000	57700.000000	
58	HYUNDAI	I30	1.6CRDI	SIYAH	2010.000000	165000.000000	41250.000000	
59	HYUNDAI	GETZ	1.5VGT	GRI	2010.000000	103000.000000	29750.000000	
60	AUDI	A5	2.0TFSI	BEYAZ	2009.000000	91000.000000	104000.000000	
61	FORD	FIESTA	1.4TDCI	FUME	2009.000000	152000.000000	37700.000000	
62	FIAT	LINEA	1.4	BEJ	2008.000000	152900.000000	35000.000000	
63	OPEL	CORSA	1.4	SARI	2008.000000	122000.000000	38750.000000	
64	AUDI	A6	2.0TDI	SIYAH	2008.000000	210000.000000	82500.000000	
65	CITROEN	C4	1.6HDI	SIYAH	2007.000000	179350.000000	39500.000000	
66	DACIA	LOGAN	1.6	GRI	2005.000000	123000.000000	23500.000000	
67	OPEL	TIGRA	1.4TT	MAVI	2005.000000	140000.000000	31950.000000	
68	SKODA	FABIA	1.4TDI	GRI	2004.000000	215000.000000	28000.000000	
69	MERCEDES	C-SERI	C200	MAVI	1997.000000	234000.000000	35000.000000	
70	OPEL	VECTRA	2.0CD	SIYAH	1997.000000	276000.000000	19000.000000	
